Crop,Stage,N (kg/ha),P (kg/ha),K (kg/ha),pH,Organic_Carbon,Temp (°C),Rainfall (mm),Soil_Type,Fertilizer_Recommendation,Urea,DAP,MOP,SSP,Compost
Mustard,Flowering,12,36,18,6.6,0.65,27,80,Clay Loam,54kg Urea/acre,54,0,0,0,0
Mustard,Vegetative,76,16,12,7.9,0.73,27,110,Clay Loam,35kg Urea/acre,35,0,0,0,0
Rice,Sowing,59,16,45,7.5,0.41,25,13,Clay Loam,24kg MOP/acre,0,0,24,0,0
Wheat,Tillering,68,8,43,7.2,0.85,27,49,Alluvial,42kg DAP + 59kg MOP + 30kg Urea/acre,30,42,59,0,0
Rice,Flowering,56,21,17,7.7,0.47,29,20,Black Soil,31kg Urea/acre,31,0,0,0,0
Mustard,Flowering,27,23,25,6.9,1.03,19,75,Alluvial,39kg Urea/acre,39,0,0,0,0
Wheat,Flowering,50,43,6,7.3,1.3,26,83,Loamy,43kg Urea + 48kg DAP/acre,43,48,0,0,0
Rice,Sowing,33,39,35,6.1,0.73,23,85,Loamy,42kg MOP/acre,0,0,42,0,0
Cotton,Vegetative,62,21,9,5.6,0.4,25,21,Black Soil,20kg Urea/acre,20,0,0,0,0
Maize,Grain Fill,76,11,10,7.2,0.74,28,28,Clay Loam,30kg Urea + 52kg MOP + 60kg SSP/acre,30,0,52,60,0
Rice,Flowering,10,13,39,5.7,1.28,30,116,Sandy Loam,49kg DAP + 29kg Urea/acre,29,49,0,0,0
Rice,Flowering,21,37,42,6.5,1.3,35,75,Sandy Loam,26kg Urea + 21kg DAP + 40kg MOP/acre,26,21,40,0,0
Maize,Grain Fill,62,44,25,6.6,0.32,19,21,Sandy Loam,38kg Urea + 27kg SSP + 52kg MOP/acre,38,0,52,27,0
Rice,Vegetative,56,16,6,5.7,0.97,34,13,Alluvial,50kg Urea + 50kg MOP + 48kg DAP/acre,50,48,50,0,0
Cotton,Flowering,58,7,37,6.7,0.32,29,28,Sandy Loam,27kg DAP + 41kg Urea/acre,41,27,0,0,0
Mustard,Vegetative,44,9,30,7.1,0.65,30,58,Loamy,34kg SSP/acre,0,0,0,34,0
Maize,Grain Fill,20,10,44,7.0,0.79,18,6,Black Soil,53kg SSP + 22kg MOP/acre,0,0,22,53,0
Maize,Flowering,70,46,42,7.8,1.45,20,93,Sandy Loam,23kg Urea + 57kg SSP + 27kg MOP/acre,23,0,27,57,0
Cotton,Flowering,26,11,19,6.5,1.06,37,115,Clay Loam,53kg Urea/acre,53,0,0,0,0
Rice,Grain Fill,71,20,34,7.7,1.39,35,95,Loamy,35kg Urea/acre,35,0,0,0,0
Cotton,Flowering,25,36,24,6.5,0.58,19,63,Black Soil,60kg Urea + 52kg DAP + 58kg MOP/acre,60,52,58,0,0
Rice,Sowing,47,47,21,6.1,1.47,26,87,Alluvial,44kg Urea/acre,44,0,0,0,0
Mustard,Sowing,51,22,23,6.4,1.3,30,67,Black Soil,46kg Urea/acre,46,0,0,0,0
Maize,Vegetative,66,20,11,6.0,0.34,29,21,Black Soil,35kg Urea + 58kg MOP + 56kg SSP/acre,35,0,58,56,0
Rice,Vegetative,17,44,31,7.8,1.14,18,62,Alluvial,42kg MOP + 27kg Urea + 49kg DAP/acre,27,49,42,0,0
Cotton,Boll Formation,69,7,49,6.7,0.97,26,90,Sandy Loam,49kg MOP/acre,0,0,49,0,0
Maize,Vegetative,40,16,29,7.1,0.5,33,28,Alluvial,50kg SSP + 35kg MOP + 20kg Urea/acre,20,0,35,50,0
Wheat,Sowing,27,25,26,5.6,1.17,28,67,Sandy Loam,40kg DAP + 51kg Urea + 23kg MOP/acre,51,40,23,0,0
Maize,Flowering,19,41,38,7.7,1.2,37,110,Sandy Loam,59kg SSP + 29kg Urea/acre,29,0,0,59,0
Wheat,Tillering,13,10,18,7.5,0.61,37,89,Alluvial,49kg DAP + 32kg MOP + 53kg Urea/acre,53,49,32,0,0
Mustard,Sowing,69,13,47,5.6,1.17,24,26,Sandy Loam,48kg Urea/acre,48,0,0,0,0
Maize,Grain Fill,72,45,33,6.6,1.0,32,100,Clay Loam,27kg Urea + 45kg SSP + 35kg MOP/acre,27,0,35,45,0
Mustard,Sowing,40,22,15,7.3,1.32,32,101,Loamy,30kg SSP + 26kg Urea/acre,26,0,0,30,0
Rice,Sowing,80,9,39,5.5,1.02,22,117,Loamy,41kg Urea + 54kg MOP + 37kg DAP/acre,41,37,54,0,0
Rice,Vegetative,16,40,48,5.5,1.1,22,28,Alluvial,23kg Urea + 38kg MOP + 22kg DAP/acre,23,22,38,0,0
Cotton,Sowing,59,7,28,6.4,1.15,28,17,Sandy Loam,21kg MOP/acre,0,0,21,0,0
Mustard,Sowing,73,19,29,6.6,0.66,30,97,Black Soil,30kg SSP + 38kg Urea/acre,38,0,0,30,0
Mustard,Flowering,77,22,36,7.8,0.98,37,90,Clay Loam,34kg SSP/acre,0,0,0,34,0
Cotton,Flowering,65,41,18,7.2,0.98,29,61,Loamy,57kg Urea + 52kg MOP + 39kg DAP/acre,57,39,52,0,0
Rice,Flowering,31,46,14,7.5,0.65,30,94,Black Soil,59kg MOP + 57kg DAP + 40kg Urea/acre,40,57,59,0,0
Mustard,Sowing,31,43,8,6.5,0.7,20,42,Sandy Loam,37kg Urea + 42kg SSP/acre,37,0,0,42,0
Mustard,Flowering,36,8,24,6.3,0.34,27,98,Alluvial,60kg SSP/acre,0,0,0,60,0
Wheat,Tillering,65,47,38,6.2,1.22,32,84,Loamy,21kg DAP/acre,0,21,0,0,0
Cotton,Sowing,26,32,5,7.0,1.05,23,42,Clay Loam,60kg Urea + 47kg MOP + 50kg DAP/acre,60,50,47,0,0
Rice,Sowing,65,50,27,5.6,0.79,33,99,Clay Loam,45kg Urea + 44kg MOP/acre,45,0,44,0,0
Maize,Flowering,16,31,15,5.9,1.43,30,108,Clay Loam,34kg SSP + 26kg Urea + 50kg MOP/acre,26,0,50,34,0
Rice,Grain Fill,68,24,39,7.5,1.44,20,118,Clay Loam,23kg MOP + 32kg DAP/acre,0,32,23,0,0
Maize,Sowing,74,33,23,6.0,0.89,31,26,Black Soil,35kg SSP + 21kg Urea + 39kg MOP/acre,21,0,39,35,0
Cotton,Flowering,41,6,42,5.9,1.01,36,47,Clay Loam,36kg DAP + 46kg MOP + 50kg Urea/acre,50,36,46,0,0
Cotton,Flowering,58,28,15,7.6,0.78,19,62,Black Soil,52kg MOP + 45kg Urea + 59kg DAP/acre,45,59,52,0,0
Cotton,Boll Formation,28,43,7,7.0,0.57,37,111,Sandy Loam,51kg Urea/acre,51,0,0,0,0
Rice,Sowing,17,30,16,7.3,1.13,19,71,Clay Loam,29kg Urea + 22kg DAP/acre,29,22,0,0,0
Rice,Grain Fill,24,5,29,7.2,0.73,20,106,Sandy Loam,54kg MOP/acre,0,0,54,0,0
Mustard,Flowering,16,16,20,6.6,0.69,28,92,Black Soil,44kg Urea + 28kg SSP/acre,44,0,0,28,0
Mustard,Flowering,57,10,35,5.7,1.09,23,110,Alluvial,38kg Urea + 49kg SSP/acre,38,0,0,49,0
Cotton,Flowering,28,43,35,7.4,0.75,19,36,Clay Loam,29kg DAP + 51kg Urea + 45kg MOP/acre,51,29,45,0,0
Wheat,Tillering,22,26,45,6.5,1.17,33,98,Alluvial,31kg MOP + 31kg Urea + 20kg DAP/acre,31,20,31,0,0
Rice,Grain Fill,71,36,15,8.0,0.35,29,102,Black Soil,53kg MOP + 35kg DAP/acre,0,35,53,0,0
Rice,Sowing,57,46,32,7.9,0.52,20,112,Sandy Loam,47kg DAP/acre,0,47,0,0,0
Wheat,Tillering,47,46,10,5.5,0.68,33,0,Sandy Loam,53kg MOP + 39kg DAP/acre,0,39,53,0,0
Wheat,Flowering,61,36,41,6.1,0.57,28,45,Clay Loam,47kg MOP + 59kg Urea/acre,59,0,47,0,0
Maize,Vegetative,39,31,32,5.7,0.51,21,117,Loamy,33kg SSP + 53kg Urea/acre,53,0,0,33,0
Cotton,Sowing,73,36,31,7.6,0.32,22,112,Clay Loam,47kg DAP + 34kg Urea/acre,34,47,0,0,0
Mustard,Sowing,66,27,35,6.3,0.99,21,117,Clay Loam,52kg Urea/acre,52,0,0,0,0
Maize,Sowing,71,49,27,6.0,1.1,18,39,Sandy Loam,59kg SSP + 54kg MOP/acre,0,0,54,59,0
Cotton,Vegetative,79,24,33,6.4,0.66,37,82,Sandy Loam,50kg Urea/acre,50,0,0,0,0
Wheat,Tillering,14,33,24,6.2,1.43,29,114,Loamy,55kg DAP + 22kg Urea/acre,22,55,0,0,0
Mustard,Flowering,79,41,16,6.3,1.34,26,0,Loamy,22kg SSP + 38kg Urea/acre,38,0,0,22,0
Rice,Sowing,30,14,37,7.0,0.36,29,0,Loamy,21kg DAP + 36kg Urea + 54kg MOP/acre,36,21,54,0,0
Rice,Vegetative,54,32,42,6.1,1.02,36,6,Sandy Loam,23kg MOP + 57kg Urea + 55kg DAP/acre,57,55,23,0,0
Maize,Flowering,57,41,10,7.5,0.7,19,96,Black Soil,33kg SSP + 28kg Urea/acre,28,0,0,33,0
Mustard,Sowing,43,44,47,6.9,0.59,35,2,Sandy Loam,54kg SSP/acre,0,0,0,54,0
Cotton,Vegetative,34,36,6,5.5,1.21,24,49,Alluvial,50kg MOP + 37kg DAP + 58kg Urea/acre,58,37,50,0,0
Mustard,Flowering,67,28,8,7.5,0.65,33,13,Loamy,54kg SSP/acre,0,0,0,54,0
Cotton,Sowing,33,47,30,6.1,0.61,29,85,Sandy Loam,43kg DAP/acre,0,43,0,0,0
Mustard,Flowering,13,28,40,6.8,1.0,24,15,Loamy,29kg Urea/acre,29,0,0,0,0
Rice,Grain Fill,18,16,26,7.4,0.48,29,1,Sandy Loam,36kg DAP + 54kg Urea/acre,54,36,0,0,0
Cotton,Sowing,33,41,7,7.2,0.54,18,54,Clay Loam,40kg Urea + 45kg MOP + 56kg DAP/acre,40,56,45,0,0
Rice,Flowering,64,44,6,7.5,1.25,36,2,Clay Loam,25kg MOP + 21kg Urea + 43kg DAP/acre,21,43,25,0,0
Rice,Vegetative,53,11,21,6.1,0.57,34,17,Sandy Loam,56kg Urea/acre,56,0,0,0,0
Wheat,Sowing,42,25,9,7.7,1.16,34,100,Loamy,39kg Urea + 36kg MOP + 45kg DAP/acre,39,45,36,0,0
Wheat,Sowing,35,25,6,6.3,0.87,18,88,Sandy Loam,35kg Urea + 41kg MOP + 60kg DAP/acre,35,60,41,0,0
Cotton,Sowing,27,41,41,7.5,0.55,23,101,Black Soil,31kg MOP + 31kg DAP/acre,0,31,31,0,0
Mustard,Vegetative,39,5,17,6.6,1.22,27,74,Black Soil,28kg SSP + 33kg Urea/acre,33,0,0,28,0
Rice,Grain Fill,15,22,35,6.5,1.31,18,117,Sandy Loam,56kg DAP + 33kg MOP/acre,0,56,33,0,0
Mustard,Sowing,30,8,45,6.0,1.25,26,25,Alluvial,21kg SSP/acre,0,0,0,21,0
Rice,Grain Fill,59,16,40,6.0,0.89,34,42,Sandy Loam,48kg DAP + 51kg MOP + 54kg Urea/acre,54,48,51,0,0
Maize,Flowering,48,29,43,6.3,0.3,21,105,Alluvial,47kg MOP/acre,0,0,47,0,0
Mustard,Flowering,73,43,45,6.3,1.4,22,48,Loamy,57kg SSP/acre,0,0,0,57,0
Rice,Vegetative,28,31,26,7.6,1.17,24,64,Alluvial,28kg MOP + 38kg DAP + 30kg Urea/acre,30,38,28,0,0
Rice,Flowering,10,47,37,6.4,1.04,24,69,Sandy Loam,24kg Urea + 22kg MOP/acre,24,0,22,0,0
Maize,Grain Fill,41,38,46,6.7,0.53,24,13,Black Soil,33kg Urea + 30kg SSP + 37kg MOP/acre,33,0,37,30,0
Wheat,Flowering,31,31,49,7.2,1.47,33,50,Black Soil,29kg DAP + 54kg Urea + 51kg MOP/acre,54,29,51,0,0
Maize,Sowing,15,45,28,6.0,0.57,22,22,Clay Loam,38kg Urea + 44kg SSP + 57kg MOP/acre,38,0,57,44,0
Mustard,Vegetative,74,16,21,7.7,0.97,28,1,Alluvial,60kg Urea + 47kg SSP/acre,60,0,0,47,0
Cotton,Sowing,74,37,12,7.7,0.55,25,118,Clay Loam,22kg MOP/acre,0,0,22,0,0
Cotton,Sowing,29,5,38,6.7,0.5,24,14,Black Soil,49kg Urea + 54kg DAP + 46kg MOP/acre,49,54,46,0,0
Rice,Sowing,45,29,45,7.2,0.73,19,118,Black Soil,60kg MOP/acre,0,0,60,0,0
Maize,Flowering,25,25,24,6.3,1.46,36,12,Black Soil,23kg Urea + 35kg MOP + 33kg SSP/acre,23,0,35,33,0
Wheat,Sowing,39,12,11,6.8,0.78,31,25,Clay Loam,39kg DAP/acre,0,39,0,0,0
Wheat,Grain Fill,58,22,16,5.7,0.87,29,82,Sandy Loam,45kg MOP/acre,0,0,45,0,0
Maize,Vegetative,43,21,36,7.1,0.67,26,28,Loamy,44kg MOP + 20kg SSP + 28kg Urea/acre,28,0,44,20,0
Maize,Flowering,42,26,40,5.8,1.06,36,99,Alluvial,53kg SSP/acre,0,0,0,53,0
Maize,Sowing,21,17,36,6.5,0.3,38,91,Alluvial,50kg Urea + 40kg MOP + 26kg SSP/acre,50,0,40,26,0
Wheat,Tillering,21,5,49,6.3,0.35,18,60,Black Soil,42kg DAP/acre,0,42,0,0,0
Maize,Grain Fill,25,19,20,7.8,0.97,37,18,Loamy,49kg SSP + 57kg MOP/acre,0,0,57,49,0
Rice,Flowering,16,21,32,5.8,1.02,18,42,Sandy Loam,30kg Urea + 55kg DAP + 48kg MOP/acre,30,55,48,0,0
Rice,Flowering,21,6,43,6.8,0.78,22,28,Clay Loam,25kg Urea + 50kg DAP + 36kg MOP/acre,25,50,36,0,0
Mustard,Vegetative,47,27,39,7.9,0.5,21,3,Alluvial,50kg SSP + 21kg Urea/acre,21,0,0,50,0
Rice,Flowering,59,10,16,6.8,0.63,23,50,Black Soil,43kg DAP/acre,0,43,0,0,0
Cotton,Flowering,68,26,33,7.0,0.95,35,5,Black Soil,23kg MOP + 21kg Urea + 30kg DAP/acre,21,30,23,0,0
Rice,Flowering,67,49,50,8.0,1.17,18,84,Black Soil,36kg DAP/acre,0,36,0,0,0
Wheat,Sowing,24,19,32,7.3,1.39,32,27,Alluvial,42kg DAP + 58kg MOP/acre,0,42,58,0,0
Cotton,Boll Formation,27,32,16,6.0,1.22,38,49,Alluvial,25kg MOP + 60kg Urea/acre,60,0,25,0,0
Maize,Sowing,72,15,12,5.8,0.71,38,23,Clay Loam,22kg MOP + 32kg SSP/acre,0,0,22,32,0
Cotton,Vegetative,57,44,48,6.2,0.78,25,25,Black Soil,23kg Urea/acre,23,0,0,0,0
Rice,Flowering,29,27,29,6.3,1.14,35,16,Sandy Loam,60kg MOP + 52kg Urea + 21kg DAP/acre,52,21,60,0,0
Mustard,Vegetative,43,39,18,5.6,1.15,24,101,Loamy,46kg SSP + 48kg Urea/acre,48,0,0,46,0
Cotton,Sowing,22,19,5,7.1,1.46,34,45,Black Soil,57kg Urea + 56kg DAP + 34kg MOP/acre,57,56,34,0,0
Maize,Vegetative,71,6,20,6.7,0.46,30,36,Black Soil,29kg MOP/acre,0,0,29,0,0
Mustard,Sowing,70,31,49,6.5,0.67,28,22,Sandy Loam,36kg Urea + 29kg SSP/acre,36,0,0,29,0
Maize,Vegetative,32,5,13,6.6,1.31,22,59,Alluvial,26kg MOP + 41kg Urea/acre,41,0,26,0,0
Mustard,Flowering,39,33,40,6.0,1.04,38,41,Sandy Loam,30kg SSP/acre,0,0,0,30,0
Wheat,Tillering,74,25,40,5.7,0.31,28,120,Alluvial,21kg MOP/acre,0,0,21,0,0
Maize,Grain Fill,60,23,29,7.2,1.26,33,98,Sandy Loam,22kg Urea/acre,22,0,0,0,0
Wheat,Tillering,41,35,7,7.2,0.67,21,21,Black Soil,50kg Urea + 20kg DAP + 48kg MOP/acre,50,20,48,0,0
Rice,Sowing,27,37,11,5.8,1.26,32,32,Clay Loam,46kg DAP/acre,0,46,0,0,0
Maize,Flowering,80,33,17,5.6,0.35,29,22,Clay Loam,55kg MOP + 58kg SSP + 22kg Urea/acre,22,0,55,58,0
Maize,Vegetative,35,36,8,5.8,1.17,19,32,Loamy,31kg Urea/acre,31,0,0,0,0
Maize,Flowering,32,35,44,6.3,0.76,33,5,Black Soil,44kg MOP + 29kg SSP/acre,0,0,44,29,0
Wheat,Grain Fill,34,23,12,5.6,0.77,29,18,Sandy Loam,21kg DAP + 53kg Urea/acre,53,21,0,0,0
Maize,Vegetative,24,31,50,7.6,0.83,31,55,Loamy,34kg Urea/acre,34,0,0,0,0
Cotton,Flowering,63,32,15,6.1,1.15,26,55,Loamy,40kg MOP + 60kg Urea + 21kg DAP/acre,60,21,40,0,0
Maize,Sowing,36,22,41,5.6,0.35,30,8,Loamy,20kg Urea + 42kg MOP/acre,20,0,42,0,0
Maize,Sowing,16,6,20,6.0,1.26,35,12,Loamy,41kg Urea + 51kg MOP + 41kg SSP/acre,41,0,51,41,0
Mustard,Sowing,53,35,47,6.7,0.41,18,10,Sandy Loam,31kg SSP + 39kg Urea/acre,39,0,0,31,0
Mustard,Flowering,36,11,38,5.8,1.5,28,15,Black Soil,41kg Urea/acre,41,0,0,0,0
Maize,Sowing,29,50,27,6.6,1.49,38,91,Alluvial,23kg Urea + 31kg MOP + 57kg SSP/acre,23,0,31,57,0
Wheat,Tillering,46,12,28,5.6,1.17,25,71,Alluvial,34kg DAP + 22kg Urea/acre,22,34,0,0,0
Cotton,Vegetative,43,29,41,6.4,0.92,31,82,Clay Loam,32kg Urea/acre,32,0,0,0,0
Rice,Grain Fill,68,6,37,6.2,0.54,36,55,Alluvial,29kg MOP + 22kg DAP + 28kg Urea/acre,28,22,29,0,0
Wheat,Grain Fill,12,38,20,5.8,0.64,37,4,Black Soil,49kg DAP + 30kg Urea + 57kg MOP/acre,30,49,57,0,0
Rice,Grain Fill,43,18,6,6.0,0.37,18,84,Black Soil,43kg DAP + 26kg Urea/acre,26,43,0,0,0
Rice,Flowering,12,33,26,7.6,0.32,33,88,Clay Loam,23kg Urea/acre,23,0,0,0,0
Mustard,Vegetative,19,28,16,5.9,0.89,24,118,Loamy,50kg Urea/acre,50,0,0,0,0
Mustard,Flowering,36,34,30,5.9,0.94,26,92,Loamy,26kg SSP + 34kg Urea/acre,34,0,0,26,0
Cotton,Flowering,36,27,12,7.9,1.14,34,19,Alluvial,59kg DAP/acre,0,59,0,0,0
Mustard,Flowering,49,30,16,7.8,0.72,22,26,Alluvial,41kg SSP + 60kg Urea/acre,60,0,0,41,0
Mustard,Sowing,25,32,18,6.6,1.37,23,100,Sandy Loam,23kg SSP + 27kg Urea/acre,27,0,0,23,0
Wheat,Flowering,64,48,9,7.8,1.31,29,9,Sandy Loam,45kg Urea/acre,45,0,0,0,0
Rice,Vegetative,39,16,16,7.6,0.6,29,8,Black Soil,39kg Urea + 31kg DAP + 50kg MOP/acre,39,31,50,0,0
Mustard,Flowering,69,38,9,7.7,1.31,33,19,Black Soil,56kg SSP + 29kg Urea/acre,29,0,0,56,0
Wheat,Sowing,28,14,6,7.2,0.49,38,11,Loamy,50kg Urea + 42kg DAP/acre,50,42,0,0,0
Wheat,Flowering,17,27,9,5.6,0.43,31,68,Black Soil,34kg MOP + 60kg DAP + 47kg Urea/acre,47,60,34,0,0
Wheat,Tillering,49,34,41,6.2,0.68,24,113,Alluvial,25kg DAP + 51kg MOP/acre,0,25,51,0,0
Mustard,Vegetative,59,41,10,7.8,0.61,18,19,Clay Loam,50kg SSP/acre,0,0,0,50,0
Cotton,Flowering,63,32,40,5.7,1.33,25,63,Sandy Loam,35kg Urea + 21kg MOP + 31kg DAP/acre,35,31,21,0,0
Cotton,Boll Formation,25,19,37,7.8,0.36,19,51,Clay Loam,35kg MOP + 59kg Urea/acre,59,0,35,0,0
Rice,Sowing,14,47,44,7.7,0.34,29,73,Alluvial,28kg MOP + 20kg DAP + 49kg Urea/acre,49,20,28,0,0
Cotton,Sowing,71,9,31,6.5,1.5,24,67,Clay Loam,60kg Urea + 42kg MOP + 24kg DAP/acre,60,24,42,0,0
Rice,Sowing,54,31,35,6.8,0.95,34,71,Alluvial,52kg Urea + 45kg DAP/acre,52,45,0,0,0
Cotton,Sowing,57,48,42,6.2,1.36,23,7,Clay Loam,26kg MOP + 53kg Urea/acre,53,0,26,0,0
Maize,Sowing,32,36,34,7.1,0.9,27,51,Sandy Loam,43kg SSP/acre,0,0,0,43,0
Mustard,Sowing,56,42,29,7.8,1.17,23,58,Alluvial,38kg Urea + 49kg SSP/acre,38,0,0,49,0
Maize,Sowing,39,5,25,6.3,1.33,22,26,Clay Loam,25kg SSP + 37kg MOP/acre,0,0,37,25,0
Rice,Flowering,35,29,15,7.9,0.88,34,79,Clay Loam,49kg MOP + 46kg Urea + 39kg DAP/acre,46,39,49,0,0
Maize,Sowing,44,27,22,6.1,0.47,18,19,Loamy,20kg Urea + 54kg SSP + 59kg MOP/acre,20,0,59,54,0
Maize,Grain Fill,77,36,25,5.5,0.88,36,28,Black Soil,33kg Urea/acre,33,0,0,0,0
Mustard,Sowing,76,16,19,7.4,1.01,20,103,Loamy,58kg Urea + 30kg SSP/acre,58,0,0,30,0
Maize,Flowering,34,44,11,5.5,1.29,28,76,Loamy,21kg SSP/acre,0,0,0,21,0
Cotton,Flowering,17,29,13,5.9,0.63,33,40,Sandy Loam,21kg DAP/acre,0,21,0,0,0
Mustard,Vegetative,44,45,6,6.3,0.64,25,95,Loamy,50kg SSP/acre,0,0,0,50,0
Cotton,Vegetative,73,20,43,6.5,1.06,32,119,Sandy Loam,38kg MOP/acre,0,0,38,0,0
Mustard,Sowing,78,37,50,7.3,0.58,29,85,Loamy,56kg SSP/acre,0,0,0,56,0
Maize,Grain Fill,51,23,30,7.8,0.91,19,20,Clay Loam,26kg SSP + 48kg MOP + 33kg Urea/acre,33,0,48,26,0
Wheat,Flowering,38,50,21,6.3,0.46,18,104,Loamy,47kg DAP/acre,0,47,0,0,0
Rice,Vegetative,38,33,18,7.5,1.05,21,50,Clay Loam,57kg Urea + 57kg DAP + 55kg MOP/acre,57,57,55,0,0
Wheat,Tillering,60,8,14,8.0,1.28,30,53,Sandy Loam,59kg Urea + 33kg DAP + 32kg MOP/acre,59,33,32,0,0
Mustard,Flowering,47,38,12,7.5,0.38,32,42,Alluvial,26kg Urea + 34kg SSP/acre,26,0,0,34,0
Cotton,Flowering,22,39,25,7.3,1.1,24,119,Loamy,57kg DAP/acre,0,57,0,0,0
Wheat,Sowing,36,32,13,7.1,0.9,30,111,Loamy,52kg Urea + 36kg DAP/acre,52,36,0,0,0
Maize,Grain Fill,32,32,11,6.0,1.24,25,22,Clay Loam,42kg SSP + 57kg MOP/acre,0,0,57,42,0
Rice,Vegetative,67,12,30,7.6,0.6,31,91,Loamy,43kg DAP/acre,0,43,0,0,0
Cotton,Flowering,59,13,6,6.5,0.41,30,28,Black Soil,40kg DAP + 32kg Urea + 43kg MOP/acre,32,40,43,0,0
Cotton,Flowering,13,6,19,6.1,1.26,26,50,Loamy,60kg Urea/acre,60,0,0,0,0
Maize,Vegetative,49,13,37,6.1,1.21,38,81,Black Soil,50kg Urea + 30kg MOP/acre,50,0,30,0,0
Rice,Sowing,29,42,40,7.3,1.36,22,94,Clay Loam,26kg MOP + 40kg Urea/acre,40,0,26,0,0
Wheat,Tillering,18,25,35,6.5,1.03,34,115,Loamy,35kg Urea + 46kg MOP + 41kg DAP/acre,35,41,46,0,0
Mustard,Vegetative,23,37,40,7.2,0.63,31,62,Black Soil,37kg SSP/acre,0,0,0,37,0
Cotton,Vegetative,76,5,32,6.4,1.03,36,115,Loamy,26kg DAP + 21kg MOP + 60kg Urea/acre,60,26,21,0,0
Rice,Sowing,76,5,34,6.1,1.03,33,74,Black Soil,48kg MOP/acre,0,0,48,0,0
Wheat,Sowing,46,30,20,6.5,0.88,26,31,Black Soil,41kg DAP/acre,0,41,0,0,0
Mustard,Vegetative,71,43,12,6.5,0.68,23,27,Alluvial,27kg SSP + 46kg Urea/acre,46,0,0,27,0
Rice,Vegetative,13,14,16,7.0,0.89,29,113,Clay Loam,21kg DAP + 43kg Urea/acre,43,21,0,0,0
Rice,Vegetative,59,47,37,7.3,1.15,19,111,Alluvial,51kg Urea/acre,51,0,0,0,0
Cotton,Boll Formation,63,8,42,7.1,1.06,37,73,Loamy,55kg DAP + 28kg Urea/acre,28,55,0,0,0
Wheat,Sowing,42,50,45,7.1,1.15,22,13,Black Soil,58kg DAP/acre,0,58,0,0,0
Rice,Flowering,71,45,44,7.5,0.74,34,60,Clay Loam,57kg Urea + 39kg DAP + 28kg MOP/acre,57,39,28,0,0
