Crop,Stage,N (kg/ha),P (kg/ha),K (kg/ha),pH,Organic_Carbon,Temp (°C),Rainfall (mm),Soil_Type,Fertilizer_Recommendation,Urea,DAP,MOP,SSP,Compost
Rice,Grain Fill,75,43,23,5.8,0.91,34,115,Alluvial,26kg Urea/acre,26,0,0,0,0
Rice,Sowing,60,9,8,6.0,0.95,36,35,Loamy,30kg MOP + 39kg DAP/acre,0,39,30,0,0
Maize,Flowering,68,47,18,6.1,1.13,28,38,Black Soil,43kg SSP/acre,0,0,0,43,0
Wheat,Grain Fill,40,44,8,5.6,0.59,22,29,Sandy Loam,29kg DAP + 57kg Urea + 36kg MOP/acre,57,29,36,0,0
Mustard,Sowing,51,14,23,7.1,1.01,26,93,Clay Loam,30kg Urea/acre,30,0,0,0,0
Rice,Vegetative,58,37,39,6.2,1.33,30,1,Alluvial,52kg MOP + 57kg DAP/acre,0,57,52,0,0
Rice,Sowing,54,49,18,8.0,1.23,35,19,Alluvial,32kg DAP + 34kg Urea/acre,34,32,0,0,0
Mustard,Vegetative,64,47,15,6.3,0.41,24,42,Alluvial,34kg Urea + 60kg SSP/acre,34,0,0,60,0
Mustard,Flowering,19,21,14,8.0,0.92,38,61,Clay Loam,31kg SSP/acre,0,0,0,31,0
Mustard,Flowering,60,48,30,5.5,0.61,27,55,Loamy,47kg SSP/acre,0,0,0,47,0
Wheat,Grain Fill,68,39,39,7.6,1.2,23,17,Alluvial,43kg Urea/acre,43,0,0,0,0
Mustard,Flowering,76,39,37,5.8,1.07,22,24,Loamy,44kg Urea + 24kg SSP/acre,44,0,0,24,0
Maize,Grain Fill,20,42,30,7.7,0.54,35,43,Alluvial,20kg MOP/acre,0,0,20,0,0
Rice,Sowing,75,8,20,6.4,0.93,30,74,Loamy,32kg DAP + 60kg MOP + 37kg Urea/acre,37,32,60,0,0
Maize,Flowering,33,50,40,6.5,0.49,34,40,Loamy,38kg MOP + 45kg Urea + 59kg SSP/acre,45,0,38,59,0
Wheat,Flowering,56,28,26,7.3,0.53,22,15,Alluvial,56kg MOP + 51kg DAP + 24kg Urea/acre,24,51,56,0,0
Mustard,Vegetative,22,28,38,7.2,1.49,21,15,Alluvial,38kg Urea/acre,38,0,0,0,0
Rice,Flowering,57,33,33,7.2,1.26,35,44,Clay Loam,42kg MOP/acre,0,0,42,0,0
Rice,Sowing,13,42,12,7.1,1.22,20,17,Clay Loam,41kg DAP + 37kg Urea + 21kg MOP/acre,37,41,21,0,0
Maize,Vegetative,15,32,25,7.6,0.96,25,90,Alluvial,54kg Urea/acre,54,0,0,0,0
Rice,Grain Fill,44,32,13,5.9,0.86,37,117,Alluvial,38kg DAP + 49kg MOP + 31kg Urea/acre,31,38,49,0,0
Wheat,Flowering,22,19,39,6.1,1.0,25,105,Clay Loam,46kg DAP/acre,0,46,0,0,0
Rice,Flowering,15,20,15,7.9,0.82,33,21,Sandy Loam,60kg DAP + 45kg MOP/acre,0,60,45,0,0
Rice,Grain Fill,28,7,36,7.9,1.1,25,37,Sandy Loam,40kg MOP + 35kg DAP/acre,0,35,40,0,0
Cotton,Flowering,64,26,21,6.1,0.37,19,25,Alluvial,49kg Urea + 44kg DAP/acre,49,44,0,0,0
Rice,Flowering,64,48,8,7.6,0.93,30,33,Alluvial,58kg MOP + 33kg DAP + 56kg Urea/acre,56,33,58,0,0
Cotton,Boll Formation,34,13,24,7.5,1.5,31,36,Alluvial,44kg Urea/acre,44,0,0,0,0
Mustard,Sowing,44,16,44,6.8,0.77,21,14,Loamy,53kg Urea + 47kg SSP/acre,53,0,0,47,0
Wheat,Grain Fill,56,12,34,7.1,0.99,29,82,Sandy Loam,60kg Urea + 50kg DAP + 28kg MOP/acre,60,50,28,0,0
Cotton,Sowing,51,29,21,5.8,0.69,19,104,Clay Loam,54kg MOP + 21kg Urea/acre,21,0,54,0,0
Cotton,Sowing,64,22,14,5.8,0.91,38,110,Alluvial,23kg Urea/acre,23,0,0,0,0
Rice,Sowing,28,35,33,6.4,0.95,20,68,Clay Loam,28kg DAP + 58kg Urea/acre,58,28,0,0,0
Cotton,Vegetative,56,27,13,7.1,1.27,19,2,Loamy,22kg Urea/acre,22,0,0,0,0
Rice,Vegetative,50,45,31,7.5,0.94,36,74,Clay Loam,42kg DAP + 41kg Urea/acre,41,42,0,0,0
Mustard,Vegetative,22,41,21,7.8,0.98,32,114,Clay Loam,41kg SSP/acre,0,0,0,41,0
Rice,Grain Fill,10,22,6,6.1,1.02,27,85,Clay Loam,53kg DAP + 32kg Urea/acre,32,53,0,0,0
Maize,Grain Fill,71,45,44,7.6,1.46,37,57,Sandy Loam,42kg MOP + 54kg Urea/acre,54,0,42,0,0
Wheat,Flowering,68,47,9,7.5,1.03,34,44,Clay Loam,43kg Urea/acre,43,0,0,0,0
Wheat,Sowing,30,15,19,7.5,0.44,29,88,Sandy Loam,38kg DAP + 51kg Urea + 37kg MOP/acre,51,38,37,0,0
Wheat,Grain Fill,70,38,40,6.9,0.63,26,90,Alluvial,35kg Urea/acre,35,0,0,0,0
Maize,Sowing,56,24,50,7.6,0.85,22,70,Sandy Loam,56kg Urea/acre,56,0,0,0,0
Wheat,Sowing,23,39,45,7.7,0.62,22,115,Alluvial,23kg Urea/acre,23,0,0,0,0
Cotton,Vegetative,74,31,49,6.8,1.36,18,66,Sandy Loam,55kg MOP + 47kg DAP/acre,0,47,55,0,0
Maize,Vegetative,41,45,50,6.0,1.05,38,40,Sandy Loam,59kg MOP + 54kg SSP + 39kg Urea/acre,39,0,59,54,0
Cotton,Boll Formation,56,15,16,6.4,1.05,35,76,Loamy,26kg DAP + 34kg Urea/acre,34,26,0,0,0
Rice,Grain Fill,44,50,26,7.8,0.53,33,105,Loamy,28kg DAP + 57kg Urea/acre,57,28,0,0,0
Wheat,Sowing,68,19,36,6.0,0.85,34,87,Loamy,28kg Urea + 28kg DAP/acre,28,28,0,0,0
Maize,Grain Fill,27,36,13,7.8,0.97,38,85,Sandy Loam,56kg SSP/acre,0,0,0,56,0
Mustard,Flowering,36,41,44,7.6,1.34,22,96,Clay Loam,25kg Urea + 48kg SSP/acre,25,0,0,48,0
Cotton,Flowering,46,46,28,5.8,0.36,29,113,Sandy Loam,42kg DAP/acre,0,42,0,0,0
Wheat,Flowering,43,8,36,6.2,0.62,21,28,Loamy,22kg MOP + 55kg Urea/acre,55,0,22,0,0
Maize,Sowing,43,27,46,5.6,0.88,33,68,Sandy Loam,28kg SSP/acre,0,0,0,28,0
Cotton,Boll Formation,53,21,42,7.2,1.47,23,115,Clay Loam,54kg Urea/acre,54,0,0,0,0
Wheat,Flowering,27,22,6,7.8,0.98,20,62,Black Soil,20kg DAP/acre,0,20,0,0,0
Mustard,Sowing,29,31,26,7.6,0.74,18,63,Black Soil,22kg Urea + 57kg SSP/acre,22,0,0,57,0
Maize,Vegetative,13,32,34,7.2,0.33,20,80,Alluvial,53kg SSP + 20kg MOP + 50kg Urea/acre,50,0,20,53,0
Mustard,Flowering,32,14,5,7.4,0.63,35,19,Alluvial,43kg Urea/acre,43,0,0,0,0
Maize,Sowing,33,30,42,7.1,1.36,28,25,Clay Loam,34kg Urea + 43kg SSP/acre,34,0,0,43,0
Wheat,Flowering,56,24,31,5.7,1.46,36,107,Alluvial,27kg DAP + 38kg Urea/acre,38,27,0,0,0
Mustard,Sowing,58,8,47,7.5,0.69,37,84,Sandy Loam,28kg SSP/acre,0,0,0,28,0
Maize,Sowing,32,43,36,5.9,1.21,35,67,Loamy,40kg Urea + 48kg MOP/acre,40,0,48,0,0
Cotton,Flowering,52,37,33,5.5,1.27,24,28,Black Soil,27kg DAP/acre,0,27,0,0,0
Cotton,Boll Formation,45,45,24,7.0,1.0,33,70,Sandy Loam,58kg MOP + 20kg Urea + 41kg DAP/acre,20,41,58,0,0
Cotton,Boll Formation,33,39,39,6.9,1.21,36,58,Clay Loam,26kg MOP + 47kg DAP/acre,0,47,26,0,0
Wheat,Grain Fill,67,24,30,7.4,1.36,27,114,Clay Loam,28kg DAP/acre,0,28,0,0,0
Cotton,Sowing,73,27,40,7.2,0.35,35,112,Sandy Loam,43kg DAP/acre,0,43,0,0,0
Maize,Flowering,24,40,7,7.6,0.33,30,14,Black Soil,45kg MOP/acre,0,0,45,0,0
Rice,Grain Fill,18,20,49,6.0,0.43,38,3,Sandy Loam,39kg DAP/acre,0,39,0,0,0
Wheat,Sowing,15,49,27,7.1,0.39,26,31,Alluvial,31kg Urea + 59kg DAP/acre,31,59,0,0,0
Wheat,Tillering,70,48,21,7.4,1.34,22,97,Clay Loam,22kg MOP + 60kg DAP + 44kg Urea/acre,44,60,22,0,0
Rice,Sowing,54,16,7,7.0,1.34,32,54,Clay Loam,55kg MOP + 38kg Urea + 20kg DAP/acre,38,20,55,0,0
Maize,Grain Fill,40,30,33,5.7,0.8,34,99,Sandy Loam,49kg MOP/acre,0,0,49,0,0
Maize,Grain Fill,76,40,34,5.9,1.43,32,63,Black Soil,51kg SSP/acre,0,0,0,51,0
Wheat,Sowing,44,44,24,5.9,0.85,26,37,Loamy,36kg Urea + 46kg DAP + 41kg MOP/acre,36,46,41,0,0
Cotton,Vegetative,21,18,23,7.4,0.4,30,101,Clay Loam,45kg DAP + 24kg MOP/acre,0,45,24,0,0
Mustard,Sowing,55,33,7,8.0,0.35,25,47,Black Soil,26kg Urea + 21kg SSP/acre,26,0,0,21,0
Mustard,Sowing,48,16,27,7.9,1.32,26,104,Alluvial,52kg SSP/acre,0,0,0,52,0
Wheat,Flowering,61,46,11,5.8,1.45,25,5,Loamy,46kg MOP + 44kg Urea/acre,44,0,46,0,0
Cotton,Boll Formation,22,6,32,7.3,0.91,28,27,Clay Loam,51kg DAP + 34kg MOP + 35kg Urea/acre,35,51,34,0,0
Maize,Vegetative,35,43,14,6.1,0.31,21,22,Alluvial,33kg MOP + 39kg Urea + 31kg SSP/acre,39,0,33,31,0
Mustard,Flowering,72,48,20,6.8,1.07,26,75,Sandy Loam,22kg SSP + 39kg Urea/acre,39,0,0,22,0
Maize,Vegetative,22,35,31,5.7,0.87,26,53,Alluvial,38kg MOP + 56kg SSP + 54kg Urea/acre,54,0,38,56,0
Mustard,Vegetative,50,36,11,7.7,0.93,19,28,Black Soil,58kg Urea + 50kg SSP/acre,58,0,0,50,0
Cotton,Boll Formation,48,17,26,7.6,1.36,38,12,Clay Loam,33kg Urea + 38kg MOP/acre,33,0,38,0,0
Cotton,Vegetative,26,27,47,6.9,0.98,35,23,Black Soil,59kg DAP + 36kg Urea + 58kg MOP/acre,36,59,58,0,0
Wheat,Sowing,50,7,28,7.3,0.33,32,4,Loamy,57kg MOP + 30kg DAP/acre,0,30,57,0,0
Rice,Sowing,20,11,6,7.1,1.08,34,79,Sandy Loam,21kg DAP/acre,0,21,0,0,0
Rice,Grain Fill,29,27,18,7.8,0.69,34,12,Sandy Loam,25kg DAP + 45kg Urea/acre,45,25,0,0,0
Mustard,Sowing,31,42,29,6.2,0.34,23,95,Clay Loam,26kg Urea/acre,26,0,0,0,0
Maize,Flowering,36,45,6,7.5,0.78,34,26,Black Soil,41kg Urea + 60kg SSP + 31kg MOP/acre,41,0,31,60,0
Rice,Sowing,54,33,44,7.0,1.06,28,14,Loamy,46kg DAP + 37kg MOP + 51kg Urea/acre,51,46,37,0,0
Cotton,Flowering,42,48,25,7.2,0.97,28,15,Sandy Loam,34kg DAP + 20kg MOP + 50kg Urea/acre,50,34,20,0,0
Wheat,Grain Fill,22,9,46,7.0,0.74,32,93,Clay Loam,55kg DAP + 36kg MOP + 35kg Urea/acre,35,55,36,0,0
Cotton,Flowering,20,20,24,7.8,1.35,37,90,Alluvial,26kg MOP + 26kg Urea/acre,26,0,26,0,0
Maize,Sowing,71,12,30,7.4,1.32,24,21,Loamy,23kg Urea + 55kg SSP/acre,23,0,0,55,0
Rice,Grain Fill,48,20,24,6.5,0.91,30,61,Black Soil,24kg DAP + 32kg Urea + 50kg MOP/acre,32,24,50,0,0
Mustard,Sowing,49,14,5,6.7,0.66,31,92,Black Soil,54kg Urea/acre,54,0,0,0,0
Cotton,Sowing,64,30,14,7.0,0.66,23,40,Clay Loam,39kg DAP + 34kg Urea/acre,34,39,0,0,0
Mustard,Flowering,30,50,30,6.8,1.04,28,41,Clay Loam,33kg Urea + 58kg SSP/acre,33,0,0,58,0
Mustard,Vegetative,54,23,35,6.8,0.72,25,60,Black Soil,57kg SSP + 30kg Urea/acre,30,0,0,57,0
Cotton,Flowering,37,39,43,6.7,1.5,30,28,Black Soil,46kg Urea + 21kg MOP + 36kg DAP/acre,46,36,21,0,0
Wheat,Grain Fill,43,34,21,7.1,0.45,27,23,Alluvial,40kg DAP + 20kg MOP + 50kg Urea/acre,50,40,20,0,0
Mustard,Vegetative,69,23,35,5.9,1.34,32,117,Alluvial,51kg Urea/acre,51,0,0,0,0
Wheat,Tillering,46,32,13,7.5,1.27,20,6,Black Soil,55kg Urea + 25kg DAP/acre,55,25,0,0,0
Wheat,Tillering,22,7,16,7.1,0.41,23,118,Clay Loam,38kg MOP + 24kg DAP/acre,0,24,38,0,0
Rice,Flowering,51,25,25,8.0,0.53,28,10,Alluvial,43kg Urea + 26kg DAP + 25kg MOP/acre,43,26,25,0,0
Rice,Flowering,72,22,11,7.5,1.27,22,113,Clay Loam,21kg DAP + 36kg MOP/acre,0,21,36,0,0
Rice,Vegetative,15,13,37,7.8,1.21,21,45,Alluvial,42kg MOP + 23kg Urea + 21kg DAP/acre,23,21,42,0,0
Wheat,Grain Fill,21,14,45,6.4,0.97,22,73,Black Soil,25kg Urea + 52kg DAP + 33kg MOP/acre,25,52,33,0,0
Mustard,Vegetative,12,49,43,7.4,1.24,19,9,Clay Loam,26kg Urea + 52kg SSP/acre,26,0,0,52,0
Maize,Vegetative,21,29,21,7.6,0.76,31,42,Black Soil,35kg SSP/acre,0,0,0,35,0
Wheat,Flowering,41,9,50,8.0,1.43,32,1,Sandy Loam,38kg MOP/acre,0,0,38,0,0
Cotton,Vegetative,13,32,43,7.3,1.28,19,25,Black Soil,44kg Urea + 59kg MOP/acre,44,0,59,0,0
Wheat,Grain Fill,45,6,11,7.3,1.43,23,39,Sandy Loam,60kg DAP + 54kg MOP/acre,0,60,54,0,0
Maize,Sowing,19,5,13,6.4,0.62,38,81,Alluvial,40kg SSP + 49kg Urea/acre,49,0,0,40,0
Cotton,Sowing,36,38,6,6.6,1.3,21,60,Loamy,25kg Urea + 54kg MOP/acre,25,0,54,0,0
Maize,Vegetative,18,26,44,6.4,1.24,22,3,Sandy Loam,58kg SSP + 50kg MOP + 37kg Urea/acre,37,0,50,58,0
Cotton,Vegetative,16,46,11,6.5,1.21,24,58,Clay Loam,43kg Urea + 60kg MOP/acre,43,0,60,0,0
Cotton,Sowing,38,46,32,8.0,1.01,29,40,Alluvial,28kg Urea + 29kg DAP + 47kg MOP/acre,28,29,47,0,0
Rice,Flowering,77,38,23,7.7,1.22,22,21,Loamy,39kg DAP/acre,0,39,0,0,0
Rice,Flowering,61,42,24,6.8,1.26,26,43,Black Soil,49kg Urea/acre,49,0,0,0,0
Mustard,Vegetative,68,45,16,6.5,0.7,30,98,Sandy Loam,30kg SSP + 44kg Urea/acre,44,0,0,30,0
Wheat,Sowing,62,33,30,7.7,1.19,18,53,Black Soil,40kg MOP + 33kg Urea/acre,33,0,40,0,0
Rice,Vegetative,35,28,24,5.9,0.58,38,33,Sandy Loam,60kg Urea + 59kg DAP + 20kg MOP/acre,60,59,20,0,0
Cotton,Sowing,14,33,49,7.5,0.65,31,23,Clay Loam,20kg DAP + 30kg Urea + 33kg MOP/acre,30,20,33,0,0
Wheat,Sowing,56,41,33,5.6,1.18,28,46,Alluvial,40kg Urea + 46kg DAP/acre,40,46,0,0,0
Mustard,Sowing,26,16,49,7.3,0.76,36,68,Alluvial,39kg SSP/acre,0,0,0,39,0
Mustard,Sowing,68,44,42,7.7,0.68,34,13,Loamy,40kg SSP + 44kg Urea/acre,44,0,0,40,0
Rice,Grain Fill,34,39,36,5.7,0.59,37,13,Alluvial,54kg MOP/acre,0,0,54,0,0
Mustard,Flowering,10,22,24,7.9,1.08,19,23,Clay Loam,58kg Urea + 44kg SSP/acre,58,0,0,44,0
Wheat,Sowing,48,18,40,6.8,1.05,22,43,Black Soil,22kg MOP/acre,0,0,22,0,0
Cotton,Vegetative,17,11,32,7.9,0.54,33,45,Black Soil,50kg Urea + 28kg DAP + 36kg MOP/acre,50,28,36,0,0
Rice,Vegetative,38,49,6,7.1,1.29,27,120,Black Soil,47kg Urea/acre,47,0,0,0,0
Maize,Flowering,14,47,43,6.0,1.12,23,93,Loamy,46kg SSP + 52kg MOP + 38kg Urea/acre,38,0,52,46,0
Maize,Flowering,16,8,29,5.5,0.5,28,87,Loamy,31kg MOP + 42kg Urea/acre,42,0,31,0,0
Maize,Flowering,17,47,40,7.6,1.12,26,71,Black Soil,23kg MOP/acre,0,0,23,0,0
Cotton,Sowing,67,45,24,7.3,0.62,34,83,Loamy,47kg DAP/acre,0,47,0,0,0
Mustard,Vegetative,52,47,38,5.8,1.27,29,97,Sandy Loam,23kg Urea/acre,23,0,0,0,0
Rice,Sowing,64,30,29,5.9,0.95,34,27,Sandy Loam,26kg MOP/acre,0,0,26,0,0
Rice,Grain Fill,29,10,26,7.6,1.18,36,32,Loamy,35kg DAP + 50kg Urea/acre,50,35,0,0,0
Rice,Vegetative,39,5,47,6.0,1.45,38,63,Sandy Loam,24kg DAP + 52kg Urea/acre,52,24,0,0,0
Maize,Sowing,51,49,46,7.0,0.74,23,13,Loamy,41kg Urea/acre,41,0,0,0,0
Maize,Vegetative,10,13,28,7.9,1.34,33,103,Clay Loam,50kg MOP/acre,0,0,50,0,0
Wheat,Grain Fill,45,5,36,7.8,1.09,27,9,Black Soil,28kg MOP + 59kg Urea/acre,59,0,28,0,0
Cotton,Flowering,50,41,7,5.6,0.97,20,56,Alluvial,37kg DAP/acre,0,37,0,0,0
Cotton,Sowing,47,33,20,7.9,1.02,35,39,Loamy,43kg DAP/acre,0,43,0,0,0
Rice,Sowing,40,26,6,7.6,1.3,30,99,Clay Loam,44kg MOP/acre,0,0,44,0,0
Cotton,Flowering,35,16,29,6.0,1.01,22,105,Sandy Loam,51kg Urea + 38kg MOP + 30kg DAP/acre,51,30,38,0,0
Rice,Sowing,13,21,36,6.0,0.95,24,33,Sandy Loam,47kg Urea/acre,47,0,0,0,0
Rice,Flowering,34,39,37,7.3,1.4,31,92,Black Soil,40kg Urea + 31kg DAP + 35kg MOP/acre,40,31,35,0,0
Maize,Grain Fill,48,12,35,8.0,0.37,19,17,Loamy,25kg MOP/acre,0,0,25,0,0
Maize,Vegetative,67,26,37,5.9,1.23,38,25,Clay Loam,27kg MOP + 22kg SSP/acre,0,0,27,22,0
Maize,Flowering,60,16,39,6.8,0.51,35,18,Clay Loam,54kg MOP/acre,0,0,54,0,0
Cotton,Boll Formation,56,27,27,5.5,0.77,35,29,Black Soil,46kg DAP/acre,0,46,0,0,0
Wheat,Grain Fill,24,24,23,7.3,1.0,32,22,Black Soil,29kg DAP + 30kg Urea + 35kg MOP/acre,30,29,35,0,0
Mustard,Sowing,52,50,36,6.5,0.33,37,0,Black Soil,46kg Urea/acre,46,0,0,0,0
Wheat,Grain Fill,29,19,44,6.1,0.46,27,105,Black Soil,45kg Urea/acre,45,0,0,0,0
Mustard,Vegetative,53,39,41,7.7,1.25,23,32,Loamy,25kg Urea + 48kg SSP/acre,25,0,0,48,0
Rice,Grain Fill,65,35,26,6.1,0.97,27,98,Loamy,33kg Urea + 35kg DAP + 59kg MOP/acre,33,35,59,0,0
Cotton,Boll Formation,44,46,21,7.9,0.49,36,25,Sandy Loam,28kg MOP/acre,0,0,28,0,0
Wheat,Tillering,50,8,35,7.2,0.89,25,30,Sandy Loam,40kg MOP + 48kg DAP + 60kg Urea/acre,60,48,40,0,0
Cotton,Boll Formation,47,46,46,7.9,0.66,20,25,Clay Loam,48kg DAP/acre,0,48,0,0,0
Rice,Flowering,30,39,30,7.6,0.73,26,18,Clay Loam,33kg Urea + 25kg MOP + 45kg DAP/acre,33,45,25,0,0
Mustard,Vegetative,42,30,35,5.5,0.79,36,20,Clay Loam,24kg SSP + 59kg Urea/acre,59,0,0,24,0
Mustard,Vegetative,80,33,11,5.9,0.87,23,102,Loamy,31kg SSP/acre,0,0,0,31,0
Maize,Vegetative,67,17,21,7.3,1.17,22,22,Clay Loam,52kg Urea + 46kg SSP/acre,52,0,0,46,0
Mustard,Sowing,28,26,27,6.1,1.18,20,102,Loamy,49kg SSP/acre,0,0,0,49,0
Cotton,Sowing,12,41,31,7.0,0.32,20,71,Sandy Loam,58kg Urea + 41kg MOP + 43kg DAP/acre,58,43,41,0,0
Wheat,Flowering,27,44,22,6.7,1.41,26,12,Clay Loam,33kg Urea + 36kg DAP/acre,33,36,0,0,0
Cotton,Flowering,15,17,43,7.8,0.66,27,10,Loamy,31kg MOP + 43kg DAP + 35kg Urea/acre,35,43,31,0,0
Maize,Flowering,14,38,33,8.0,0.51,25,50,Loamy,47kg MOP/acre,0,0,47,0,0
Cotton,Boll Formation,59,44,22,5.8,0.67,20,40,Alluvial,47kg MOP/acre,0,0,47,0,0
Cotton,Sowing,38,21,21,6.8,1.38,18,107,Sandy Loam,39kg Urea + 44kg MOP + 32kg DAP/acre,39,32,44,0,0
Mustard,Flowering,24,43,21,7.8,1.35,27,112,Black Soil,43kg SSP + 31kg Urea/acre,31,0,0,43,0
Rice,Grain Fill,54,9,40,6.6,0.4,24,109,Clay Loam,38kg DAP + 43kg MOP + 51kg Urea/acre,51,38,43,0,0
Cotton,Boll Formation,26,31,48,6.6,1.05,28,39,Sandy Loam,28kg MOP/acre,0,0,28,0,0
Rice,Flowering,24,40,10,6.1,0.44,28,120,Loamy,24kg MOP + 48kg Urea/acre,48,0,24,0,0
Rice,Grain Fill,67,25,13,7.7,1.28,31,64,Loamy,21kg MOP + 47kg DAP + 37kg Urea/acre,37,47,21,0,0
Cotton,Sowing,80,34,39,6.4,1.2,24,28,Sandy Loam,23kg DAP + 42kg Urea/acre,42,23,0,0,0
Cotton,Boll Formation,24,37,40,7.8,1.23,24,50,Clay Loam,48kg MOP + 52kg Urea/acre,52,0,48,0,0
Maize,Sowing,54,13,32,7.3,1.4,37,77,Clay Loam,38kg SSP + 34kg Urea + 34kg MOP/acre,34,0,34,38,0
Wheat,Flowering,58,13,15,6.7,1.24,28,71,Black Soil,49kg Urea/acre,49,0,0,0,0
Maize,Flowering,56,36,30,6.4,1.41,18,63,Loamy,25kg MOP + 39kg SSP/acre,0,0,25,39,0
Rice,Sowing,65,13,9,7.8,1.04,28,64,Black Soil,31kg DAP/acre,0,31,0,0,0
Mustard,Vegetative,47,35,41,6.4,0.7,30,18,Clay Loam,50kg Urea + 58kg SSP/acre,50,0,0,58,0
Wheat,Grain Fill,55,10,17,8.0,0.92,33,110,Clay Loam,53kg Urea + 50kg DAP/acre,53,50,0,0,0
Mustard,Flowering,29,5,28,7.7,1.2,19,53,Loamy,27kg Urea/acre,27,0,0,0,0
Wheat,Tillering,56,48,34,6.2,0.37,36,80,Sandy Loam,28kg Urea + 53kg DAP/acre,28,53,0,0,0
Maize,Flowering,18,48,43,5.7,1.17,36,54,Black Soil,51kg Urea + 43kg SSP + 59kg MOP/acre,51,0,59,43,0
Rice,Sowing,35,10,28,7.3,0.31,33,93,Alluvial,25kg DAP/acre,0,25,0,0,0
Maize,Vegetative,75,7,26,7.5,1.18,35,99,Clay Loam,54kg Urea + 56kg SSP + 33kg MOP/acre,54,0,33,56,0
Cotton,Flowering,38,26,46,6.0,1.21,24,105,Clay Loam,55kg Urea/acre,55,0,0,0,0
Maize,Flowering,36,35,50,7.9,1.07,21,111,Black Soil,22kg MOP + 48kg SSP + 50kg Urea/acre,50,0,22,48,0
Wheat,Tillering,33,9,46,7.4,0.82,31,14,Loamy,24kg MOP/acre,0,0,24,0,0
Wheat,Tillering,17,27,37,6.6,1.25,31,112,Black Soil,46kg DAP + 49kg MOP/acre,0,46,49,0,0
Wheat,Tillering,22,14,25,6.7,0.66,32,77,Alluvial,45kg MOP + 59kg DAP + 54kg Urea/acre,54,59,45,0,0
Mustard,Flowering,72,43,8,5.9,1.41,37,24,Black Soil,24kg Urea + 25kg SSP/acre,24,0,0,25,0
Mustard,Sowing,25,5,5,6.6,1.47,35,50,Alluvial,36kg SSP + 21kg Urea/acre,21,0,0,36,0
Maize,Flowering,25,32,6,6.7,0.79,24,20,Sandy Loam,35kg Urea + 27kg SSP/acre,35,0,0,27,0
Mustard,Sowing,19,11,12,5.7,1.32,19,120,Clay Loam,29kg Urea + 36kg SSP/acre,29,0,0,36,0
Rice,Vegetative,25,43,21,7.0,0.57,19,77,Alluvial,29kg Urea + 24kg DAP + 42kg MOP/acre,29,24,42,0,0
