Crop,Stage,N (kg/ha),P (kg/ha),K (kg/ha),pH,Organic_Carbon,Temp (°C),Rainfall (mm),Soil_Type,Fertilizer_Recommendation,Urea,DAP,MOP,SSP,Compost
Maize,Grain Fill,42,20,49,7.3,1.25,21,90,Clay Loam,58kg MOP + 57kg SSP/acre,0,0,58,57,0
Wheat,Sowing,21,11,43,7.8,1.11,38,22,Black Soil,43kg DAP + 53kg Urea + 50kg MOP/acre,53,43,50,0,0
Wheat,Sowing,73,36,16,5.8,0.38,33,105,Sandy Loam,46kg DAP + 44kg MOP + 34kg Urea/acre,34,46,44,0,0
Maize,Grain Fill,19,20,50,6.5,1.35,21,105,Sandy Loam,35kg MOP + 35kg Urea + 52kg SSP/acre,35,0,35,52,0
Maize,Flowering,77,26,21,6.7,0.78,20,60,Black Soil,42kg Urea/acre,42,0,0,0,0
Mustard,Flowering,59,8,39,6.9,1.13,31,82,Clay Loam,23kg Urea/acre,23,0,0,0,0
Maize,Flowering,49,47,10,6.0,1.46,25,104,Clay Loam,25kg SSP/acre,0,0,0,25,0
Mustard,Vegetative,38,19,44,6.4,1.16,21,40,Sandy Loam,37kg Urea + 41kg SSP/acre,37,0,0,41,0
Maize,Flowering,49,10,25,6.9,0.57,18,105,Clay Loam,55kg SSP + 44kg MOP/acre,0,0,44,55,0
Cotton,Flowering,58,17,43,7.3,0.63,28,33,Sandy Loam,26kg DAP/acre,0,26,0,0,0
Mustard,Flowering,71,39,42,7.9,0.96,35,53,Black Soil,36kg SSP/acre,0,0,0,36,0
Wheat,Sowing,42,38,33,5.8,0.94,29,106,Clay Loam,25kg Urea + 50kg MOP + 57kg DAP/acre,25,57,50,0,0
Cotton,Boll Formation,20,16,11,6.7,0.69,19,37,Alluvial,32kg MOP + 53kg Urea/acre,53,0,32,0,0
Mustard,Sowing,31,49,15,6.2,0.95,26,52,Black Soil,28kg SSP/acre,0,0,0,28,0
Maize,Sowing,25,15,20,5.7,1.17,25,61,Clay Loam,20kg Urea/acre,20,0,0,0,0
Mustard,Sowing,69,47,22,6.5,0.8,32,107,Loamy,31kg SSP/acre,0,0,0,31,0
Maize,Sowing,63,11,26,7.9,1.26,33,117,Loamy,46kg Urea/acre,46,0,0,0,0
Cotton,Sowing,65,44,7,6.8,1.37,22,9,Loamy,59kg DAP + 31kg MOP + 56kg Urea/acre,56,59,31,0,0
Mustard,Flowering,26,47,24,5.6,0.43,18,18,Loamy,56kg Urea + 35kg SSP/acre,56,0,0,35,0
Maize,Flowering,20,30,39,5.8,0.44,34,44,Sandy Loam,59kg Urea + 34kg MOP + 41kg SSP/acre,59,0,34,41,0
Rice,Grain Fill,16,40,26,6.1,0.56,31,51,Alluvial,24kg Urea + 24kg MOP + 52kg DAP/acre,24,52,24,0,0
Wheat,Flowering,25,12,12,6.4,1.19,32,82,Black Soil,35kg DAP + 28kg MOP + 22kg Urea/acre,22,35,28,0,0
Cotton,Sowing,54,22,11,7.4,1.1,35,21,Loamy,42kg Urea + 51kg DAP + 57kg MOP/acre,42,51,57,0,0
Rice,Flowering,20,6,48,7.7,0.37,25,37,Sandy Loam,34kg DAP/acre,0,34,0,0,0
Rice,Sowing,20,46,37,5.9,0.43,35,5,Clay Loam,41kg Urea + 21kg MOP + 21kg DAP/acre,41,21,21,0,0
Mustard,Vegetative,25,12,17,5.9,0.63,35,96,Black Soil,43kg SSP/acre,0,0,0,43,0
Maize,Grain Fill,33,38,15,7.4,0.79,18,5,Clay Loam,27kg MOP + 45kg SSP/acre,0,0,27,45,0
Wheat,Tillering,57,24,11,7.7,0.78,22,61,Loamy,41kg Urea + 42kg MOP/acre,41,0,42,0,0
Mustard,Vegetative,31,18,49,7.9,0.33,28,61,Sandy Loam,23kg SSP + 43kg Urea/acre,43,0,0,23,0
Mustard,Sowing,21,36,30,7.6,0.34,38,84,Sandy Loam,52kg Urea/acre,52,0,0,0,0
Rice,Flowering,24,30,39,6.9,0.5,18,116,Alluvial,46kg DAP + 31kg MOP/acre,0,46,31,0,0
Wheat,Flowering,57,29,5,7.7,0.51,24,31,Sandy Loam,30kg DAP/acre,0,30,0,0,0
Maize,Sowing,73,23,21,7.7,0.32,21,9,Loamy,59kg MOP/acre,0,0,59,0,0
Mustard,Sowing,18,48,5,5.8,1.03,18,82,Sandy Loam,29kg SSP + 56kg Urea/acre,56,0,0,29,0
Wheat,Tillering,61,32,33,6.3,0.99,34,80,Loamy,55kg DAP + 49kg Urea/acre,49,55,0,0,0
Wheat,Grain Fill,45,14,22,6.4,0.56,18,101,Sandy Loam,33kg MOP/acre,0,0,33,0,0
Maize,Vegetative,62,5,15,6.7,0.48,28,63,Clay Loam,20kg SSP/acre,0,0,0,20,0
Mustard,Flowering,53,31,22,5.7,1.35,25,24,Clay Loam,41kg Urea + 35kg SSP/acre,41,0,0,35,0
Maize,Grain Fill,72,39,36,6.7,1.21,30,39,Sandy Loam,34kg Urea + 39kg MOP/acre,34,0,39,0,0
Wheat,Grain Fill,30,18,34,5.7,0.53,22,51,Loamy,22kg DAP + 29kg Urea + 55kg MOP/acre,29,22,55,0,0
Wheat,Tillering,68,39,43,6.3,0.41,20,92,Sandy Loam,24kg DAP + 41kg MOP/acre,0,24,41,0,0
Rice,Grain Fill,16,32,27,7.5,0.97,22,61,Loamy,41kg DAP + 54kg MOP/acre,0,41,54,0,0
Cotton,Sowing,41,31,11,7.1,0.49,19,38,Clay Loam,52kg DAP + 55kg Urea + 25kg MOP/acre,55,52,25,0,0
Cotton,Flowering,62,28,17,6.4,1.19,29,12,Clay Loam,27kg MOP + 55kg DAP/acre,0,55,27,0,0
Rice,Vegetative,56,14,19,6.0,1.26,38,0,Alluvial,59kg DAP + 49kg Urea + 56kg MOP/acre,49,59,56,0,0
Rice,Vegetative,77,7,15,6.1,0.85,34,70,Black Soil,47kg DAP + 52kg MOP/acre,0,47,52,0,0
Mustard,Vegetative,11,17,15,6.5,0.67,21,20,Sandy Loam,55kg Urea/acre,55,0,0,0,0
Maize,Flowering,77,17,48,6.1,1.26,38,69,Loamy,47kg SSP + 52kg MOP + 41kg Urea/acre,41,0,52,47,0
Cotton,Flowering,40,28,12,6.7,1.23,38,26,Loamy,60kg DAP + 59kg MOP/acre,0,60,59,0,0
Wheat,Tillering,37,32,11,8.0,0.98,30,68,Loamy,29kg Urea + 20kg DAP + 38kg MOP/acre,29,20,38,0,0
Wheat,Sowing,39,35,45,7.4,1.22,30,13,Sandy Loam,40kg Urea + 48kg MOP + 60kg DAP/acre,40,60,48,0,0
Maize,Vegetative,59,34,32,7.5,0.76,26,27,Loamy,20kg SSP/acre,0,0,0,20,0
Wheat,Grain Fill,25,25,23,7.0,1.17,31,5,Loamy,34kg Urea + 28kg MOP/acre,34,0,28,0,0
Maize,Flowering,80,15,43,7.9,0.91,26,48,Sandy Loam,56kg Urea + 33kg SSP/acre,56,0,0,33,0
Mustard,Sowing,53,35,38,7.3,0.72,29,91,Clay Loam,40kg SSP + 46kg Urea/acre,46,0,0,40,0
Maize,Grain Fill,54,17,20,7.6,1.23,30,7,Sandy Loam,20kg MOP + 23kg SSP + 35kg Urea/acre,35,0,20,23,0
Maize,Flowering,24,14,44,6.2,0.56,22,68,Black Soil,46kg Urea + 50kg MOP + 50kg SSP/acre,46,0,50,50,0
Cotton,Sowing,80,23,7,6.1,0.82,32,96,Alluvial,31kg MOP + 23kg DAP + 20kg Urea/acre,20,23,31,0,0
Wheat,Grain Fill,18,29,19,6.0,1.17,18,25,Clay Loam,59kg Urea + 57kg DAP + 29kg MOP/acre,59,57,29,0,0
Maize,Grain Fill,15,40,10,7.9,1.25,33,99,Alluvial,33kg MOP/acre,0,0,33,0,0
Wheat,Sowing,24,17,35,6.1,0.79,23,14,Clay Loam,28kg Urea/acre,28,0,0,0,0
Rice,Flowering,25,33,40,6.3,0.45,32,25,Black Soil,58kg Urea/acre,58,0,0,0,0
Maize,Vegetative,54,21,38,7.2,0.83,25,21,Black Soil,58kg SSP + 49kg Urea + 21kg MOP/acre,49,0,21,58,0
Cotton,Boll Formation,69,41,46,5.9,0.94,20,58,Clay Loam,30kg DAP + 37kg MOP/acre,0,30,37,0,0
Mustard,Vegetative,14,21,30,5.6,1.36,27,55,Alluvial,41kg Urea/acre,41,0,0,0,0
Maize,Grain Fill,17,19,12,7.6,0.51,33,98,Sandy Loam,59kg MOP + 39kg Urea/acre,39,0,59,0,0
Wheat,Grain Fill,43,48,16,6.8,0.99,24,56,Black Soil,23kg DAP + 31kg MOP + 24kg Urea/acre,24,23,31,0,0
Rice,Grain Fill,74,44,5,5.5,0.52,27,46,Sandy Loam,29kg MOP/acre,0,0,29,0,0
Rice,Vegetative,61,7,26,6.9,0.69,35,63,Black Soil,48kg Urea + 47kg MOP + 47kg DAP/acre,48,47,47,0,0
Wheat,Tillering,32,33,38,6.4,0.68,20,32,Loamy,38kg Urea + 36kg DAP + 34kg MOP/acre,38,36,34,0,0
Maize,Sowing,72,28,16,6.9,1.4,27,90,Alluvial,51kg MOP + 21kg SSP/acre,0,0,51,21,0
Rice,Vegetative,28,24,19,7.7,0.81,37,85,Black Soil,24kg Urea + 60kg MOP + 30kg DAP/acre,24,30,60,0,0
Maize,Grain Fill,73,47,27,6.4,0.36,29,1,Clay Loam,55kg Urea/acre,55,0,0,0,0
Mustard,Vegetative,50,27,7,6.5,1.14,33,15,Clay Loam,45kg Urea/acre,45,0,0,0,0
Cotton,Boll Formation,46,15,19,6.8,1.1,30,103,Alluvial,21kg MOP + 46kg DAP/acre,0,46,21,0,0
Mustard,Flowering,45,22,19,7.9,1.24,33,20,Alluvial,57kg SSP/acre,0,0,0,57,0
Mustard,Flowering,43,5,42,6.5,0.7,25,68,Sandy Loam,25kg Urea + 41kg SSP/acre,25,0,0,41,0
Maize,Flowering,32,21,12,6.5,0.74,34,101,Sandy Loam,25kg SSP + 52kg MOP + 48kg Urea/acre,48,0,52,25,0
Rice,Sowing,11,48,21,7.5,0.85,23,90,Black Soil,25kg Urea/acre,25,0,0,0,0
Wheat,Flowering,37,49,18,7.8,1.43,24,32,Alluvial,34kg MOP + 53kg DAP + 57kg Urea/acre,57,53,34,0,0
Mustard,Vegetative,17,30,22,6.0,1.37,35,8,Alluvial,54kg Urea/acre,54,0,0,0,0
Maize,Vegetative,58,44,28,7.9,0.51,21,42,Black Soil,54kg MOP + 53kg SSP + 48kg Urea/acre,48,0,54,53,0
Rice,Grain Fill,37,39,41,6.9,1.49,33,120,Black Soil,28kg Urea + 57kg MOP + 38kg DAP/acre,28,38,57,0,0
Maize,Flowering,47,40,37,6.7,0.43,34,17,Clay Loam,49kg SSP + 48kg MOP/acre,0,0,48,49,0
Cotton,Flowering,38,19,14,6.9,0.79,37,15,Sandy Loam,23kg DAP + 26kg Urea + 38kg MOP/acre,26,23,38,0,0
Mustard,Flowering,39,39,40,5.8,0.39,26,103,Black Soil,34kg Urea + 27kg SSP/acre,34,0,0,27,0
Rice,Grain Fill,80,35,33,7.2,1.45,29,70,Clay Loam,22kg MOP + 40kg DAP/acre,0,40,22,0,0
Cotton,Sowing,18,37,11,6.1,1.35,30,11,Sandy Loam,51kg MOP + 48kg DAP/acre,0,48,51,0,0
Cotton,Sowing,28,48,18,7.6,1.43,21,47,Loamy,30kg MOP/acre,0,0,30,0,0
Cotton,Flowering,36,40,40,8.0,0.7,25,119,Alluvial,26kg Urea/acre,26,0,0,0,0
Mustard,Sowing,76,24,45,6.9,1.13,33,80,Loamy,40kg Urea + 48kg SSP/acre,40,0,0,48,0
Wheat,Sowing,17,45,44,5.9,1.12,32,41,Loamy,31kg MOP + 55kg Urea/acre,55,0,31,0,0
Maize,Sowing,28,18,47,7.2,0.55,22,120,Alluvial,53kg Urea + 51kg MOP/acre,53,0,51,0,0
Rice,Grain Fill,69,45,48,6.8,1.44,18,41,Clay Loam,48kg MOP + 50kg DAP/acre,0,50,48,0,0
Mustard,Flowering,63,9,7,7.1,1.04,30,101,Black Soil,59kg SSP + 29kg Urea/acre,29,0,0,59,0
Cotton,Flowering,66,50,24,6.1,1.29,27,58,Alluvial,37kg Urea/acre,37,0,0,0,0
Rice,Grain Fill,57,48,26,7.2,0.69,25,47,Loamy,60kg DAP + 25kg Urea + 34kg MOP/acre,25,60,34,0,0
Wheat,Grain Fill,15,50,39,6.6,0.41,22,47,Loamy,40kg DAP + 56kg MOP + 56kg Urea/acre,56,40,56,0,0
Mustard,Vegetative,15,16,41,7.3,0.38,26,108,Alluvial,26kg Urea + 59kg SSP/acre,26,0,0,59,0
Cotton,Vegetative,55,44,22,6.9,0.54,27,105,Loamy,21kg Urea + 34kg DAP/acre,21,34,0,0,0
Rice,Flowering,53,49,28,7.6,0.94,37,52,Clay Loam,49kg Urea + 21kg DAP + 57kg MOP/acre,49,21,57,0,0
Cotton,Vegetative,28,23,24,7.1,0.91,18,38,Loamy,52kg Urea + 44kg MOP/acre,52,0,44,0,0
Mustard,Vegetative,54,14,7,6.0,0.69,32,1,Clay Loam,32kg SSP + 54kg Urea/acre,54,0,0,32,0
Mustard,Sowing,17,14,41,7.6,0.89,37,11,Clay Loam,43kg Urea + 33kg SSP/acre,43,0,0,33,0
Mustard,Vegetative,14,23,33,6.2,0.75,26,56,Sandy Loam,59kg Urea/acre,59,0,0,0,0
Cotton,Flowering,28,41,6,7.4,0.52,18,24,Sandy Loam,41kg DAP + 57kg MOP + 44kg Urea/acre,44,41,57,0,0
Rice,Vegetative,69,38,36,6.3,1.3,19,29,Loamy,32kg Urea + 39kg DAP + 36kg MOP/acre,32,39,36,0,0
Maize,Flowering,77,27,46,6.2,0.45,35,113,Clay Loam,24kg SSP + 57kg MOP + 53kg Urea/acre,53,0,57,24,0
Wheat,Grain Fill,40,50,24,7.4,1.33,32,15,Clay Loam,28kg DAP/acre,0,28,0,0,0
Cotton,Flowering,53,9,5,7.8,1.26,19,92,Loamy,58kg MOP + 28kg DAP/acre,0,28,58,0,0
Cotton,Flowering,72,15,17,6.5,0.49,37,87,Alluvial,24kg Urea + 30kg MOP/acre,24,0,30,0,0
Maize,Grain Fill,73,6,49,7.7,0.67,28,41,Sandy Loam,41kg Urea + 36kg SSP/acre,41,0,0,36,0
Wheat,Tillering,22,38,17,6.0,0.68,31,96,Loamy,40kg Urea + 58kg DAP/acre,40,58,0,0,0
Maize,Vegetative,62,42,24,8.0,1.35,28,34,Alluvial,27kg MOP + 51kg Urea + 46kg SSP/acre,51,0,27,46,0
Wheat,Grain Fill,19,27,11,7.9,1.29,19,44,Loamy,27kg MOP/acre,0,0,27,0,0
Wheat,Tillering,24,21,9,6.4,0.8,32,92,Sandy Loam,33kg DAP/acre,0,33,0,0,0
Rice,Vegetative,23,7,30,5.7,0.74,21,88,Alluvial,34kg MOP/acre,0,0,34,0,0
Mustard,Flowering,67,24,30,6.3,1.46,28,51,Sandy Loam,24kg SSP + 35kg Urea/acre,35,0,0,24,0
Maize,Vegetative,52,48,18,7.7,0.75,19,93,Sandy Loam,21kg MOP + 55kg SSP/acre,0,0,21,55,0
Mustard,Sowing,39,18,49,7.8,0.77,26,42,Loamy,30kg Urea/acre,30,0,0,0,0
Mustard,Flowering,16,27,42,6.9,0.71,31,49,Sandy Loam,31kg SSP + 50kg Urea/acre,50,0,0,31,0
Rice,Grain Fill,59,8,25,8.0,1.43,27,41,Alluvial,36kg MOP + 30kg Urea/acre,30,0,36,0,0
Maize,Sowing,15,14,28,5.5,1.09,33,45,Alluvial,37kg Urea/acre,37,0,0,0,0
Cotton,Flowering,32,11,10,6.8,1.25,20,76,Sandy Loam,45kg MOP + 27kg DAP + 23kg Urea/acre,23,27,45,0,0
Wheat,Grain Fill,33,28,33,7.8,0.5,21,29,Loamy,43kg Urea + 42kg DAP + 34kg MOP/acre,43,42,34,0,0
Cotton,Vegetative,78,24,18,6.7,1.21,34,101,Clay Loam,22kg Urea + 52kg MOP/acre,22,0,52,0,0
Mustard,Vegetative,45,40,6,7.5,0.74,38,23,Black Soil,44kg Urea/acre,44,0,0,0,0
Rice,Grain Fill,79,42,45,7.0,1.12,29,56,Sandy Loam,59kg MOP + 44kg Urea/acre,44,0,59,0,0
Wheat,Flowering,39,12,7,8.0,0.58,27,67,Loamy,51kg Urea + 48kg MOP + 21kg DAP/acre,51,21,48,0,0
Rice,Grain Fill,68,42,49,6.1,0.46,25,6,Clay Loam,23kg Urea + 30kg MOP + 44kg DAP/acre,23,44,30,0,0
Mustard,Flowering,23,37,42,7.6,0.47,18,75,Alluvial,25kg Urea/acre,25,0,0,0,0
Rice,Flowering,51,42,36,6.9,1.22,28,63,Loamy,47kg DAP + 22kg MOP + 55kg Urea/acre,55,47,22,0,0
Mustard,Sowing,10,35,36,7.6,0.44,26,105,Loamy,51kg Urea + 30kg SSP/acre,51,0,0,30,0
Mustard,Vegetative,63,45,16,5.7,1.13,32,25,Loamy,38kg Urea + 28kg SSP/acre,38,0,0,28,0
Cotton,Boll Formation,46,36,38,7.0,0.45,19,93,Loamy,21kg DAP + 56kg Urea/acre,56,21,0,0,0
Maize,Vegetative,41,26,7,6.8,1.37,34,51,Clay Loam,54kg Urea/acre,54,0,0,0,0
Mustard,Vegetative,67,19,27,5.8,0.86,33,43,Alluvial,37kg Urea/acre,37,0,0,0,0
Maize,Flowering,62,38,43,7.4,0.89,37,86,Black Soil,52kg MOP/acre,0,0,52,0,0
Rice,Sowing,25,40,44,7.4,0.49,30,55,Black Soil,22kg Urea + 50kg MOP + 24kg DAP/acre,22,24,50,0,0
Wheat,Tillering,72,15,37,7.6,0.53,20,82,Loamy,53kg Urea/acre,53,0,0,0,0
Rice,Sowing,40,36,14,7.9,1.3,34,95,Loamy,60kg Urea + 29kg DAP/acre,60,29,0,0,0
Rice,Grain Fill,70,45,35,5.9,0.49,33,22,Clay Loam,45kg DAP/acre,0,45,0,0,0
Rice,Sowing,26,47,45,7.8,1.33,35,14,Sandy Loam,29kg Urea + 52kg MOP + 40kg DAP/acre,29,40,52,0,0
Wheat,Tillering,39,9,9,5.8,0.75,37,18,Sandy Loam,40kg MOP + 27kg Urea/acre,27,0,40,0,0
Maize,Flowering,20,47,34,7.0,1.38,30,106,Clay Loam,39kg SSP + 42kg Urea/acre,42,0,0,39,0
Cotton,Vegetative,54,8,32,6.0,1.05,38,108,Loamy,55kg Urea + 31kg DAP + 60kg MOP/acre,55,31,60,0,0
Maize,Vegetative,80,23,37,6.8,0.45,18,115,Black Soil,59kg SSP + 58kg MOP/acre,0,0,58,59,0
Maize,Grain Fill,58,35,17,7.9,1.18,27,23,Alluvial,24kg Urea + 48kg SSP/acre,24,0,0,48,0
Cotton,Boll Formation,63,49,30,6.9,0.51,19,1,Clay Loam,33kg Urea/acre,33,0,0,0,0
Cotton,Sowing,51,25,50,7.4,0.78,18,8,Sandy Loam,56kg DAP + 26kg Urea + 44kg MOP/acre,26,56,44,0,0
Maize,Flowering,10,35,50,5.5,0.88,25,2,Clay Loam,39kg MOP/acre,0,0,39,0,0
Cotton,Sowing,71,46,29,7.5,1.23,35,22,Clay Loam,41kg MOP + 52kg DAP + 36kg Urea/acre,36,52,41,0,0
Rice,Sowing,13,16,39,5.9,0.99,25,82,Sandy Loam,50kg Urea/acre,50,0,0,0,0
Cotton,Sowing,38,46,26,6.8,0.94,33,73,Sandy Loam,53kg Urea + 50kg MOP/acre,53,0,50,0,0
Mustard,Vegetative,74,36,41,7.2,0.7,20,85,Alluvial,30kg Urea/acre,30,0,0,0,0
Maize,Sowing,30,18,40,7.5,1.22,34,99,Black Soil,60kg Urea + 59kg MOP/acre,60,0,59,0,0
Mustard,Flowering,72,30,14,7.1,1.5,22,4,Clay Loam,50kg Urea/acre,50,0,0,0,0
Mustard,Vegetative,41,43,32,5.9,0.78,21,34,Alluvial,33kg SSP + 58kg Urea/acre,58,0,0,33,0
Cotton,Vegetative,80,39,30,6.5,0.4,27,42,Alluvial,45kg Urea/acre,45,0,0,0,0
Mustard,Vegetative,13,37,34,6.4,1.41,36,91,Sandy Loam,58kg SSP/acre,0,0,0,58,0
Wheat,Grain Fill,59,26,41,6.1,0.82,27,77,Sandy Loam,44kg DAP + 49kg MOP/acre,0,44,49,0,0
Cotton,Boll Formation,79,34,31,7.5,0.6,32,4,Sandy Loam,39kg DAP/acre,0,39,0,0,0
Wheat,Grain Fill,56,42,40,7.2,1.49,30,57,Loamy,24kg DAP/acre,0,24,0,0,0
Maize,Grain Fill,10,28,41,6.0,0.34,34,22,Sandy Loam,27kg SSP + 32kg Urea + 39kg MOP/acre,32,0,39,27,0
Mustard,Vegetative,44,26,44,6.1,0.9,23,91,Alluvial,20kg SSP/acre,0,0,0,20,0
Cotton,Flowering,26,47,17,7.6,1.12,20,46,Black Soil,26kg MOP + 41kg DAP + 46kg Urea/acre,46,41,26,0,0
Mustard,Flowering,68,7,26,7.5,1.06,23,2,Loamy,52kg SSP + 32kg Urea/acre,32,0,0,52,0
Maize,Vegetative,34,26,22,6.8,0.82,35,107,Sandy Loam,26kg MOP + 60kg Urea/acre,60,0,26,0,0
Wheat,Tillering,40,19,17,6.8,1.0,28,99,Sandy Loam,41kg DAP + 49kg Urea/acre,49,41,0,0,0
Maize,Grain Fill,12,49,42,6.3,0.9,20,111,Black Soil,29kg SSP + 33kg Urea + 36kg MOP/acre,33,0,36,29,0
Maize,Vegetative,20,28,43,7.2,1.19,20,58,Sandy Loam,56kg MOP + 34kg SSP + 25kg Urea/acre,25,0,56,34,0
Cotton,Sowing,38,41,26,7.9,1.39,33,68,Clay Loam,51kg DAP + 50kg MOP + 60kg Urea/acre,60,51,50,0,0
Rice,Flowering,36,20,23,7.9,1.47,31,81,Black Soil,33kg DAP + 43kg MOP/acre,0,33,43,0,0
Wheat,Flowering,63,23,31,7.2,0.32,30,3,Black Soil,58kg Urea + 42kg MOP + 60kg DAP/acre,58,60,42,0,0
Cotton,Boll Formation,32,16,20,7.1,1.38,30,88,Loamy,43kg Urea/acre,43,0,0,0,0
Maize,Vegetative,39,22,30,6.2,1.12,26,5,Alluvial,32kg SSP + 37kg MOP/acre,0,0,37,32,0
Mustard,Sowing,11,20,14,6.3,0.45,19,75,Alluvial,43kg SSP/acre,0,0,0,43,0
Mustard,Flowering,32,15,32,7.1,1.08,24,114,Sandy Loam,48kg SSP/acre,0,0,0,48,0
Mustard,Vegetative,50,40,13,7.6,1.43,29,50,Loamy,28kg Urea + 58kg SSP/acre,28,0,0,58,0
Maize,Grain Fill,33,25,25,5.7,1.33,38,48,Sandy Loam,57kg SSP/acre,0,0,0,57,0
Mustard,Flowering,20,5,44,6.9,0.59,25,31,Black Soil,54kg Urea + 38kg SSP/acre,54,0,0,38,0
Rice,Grain Fill,80,17,20,6.8,1.24,19,5,Clay Loam,29kg MOP/acre,0,0,29,0,0
Rice,Grain Fill,35,9,14,6.2,0.37,18,76,Black Soil,45kg MOP + 30kg Urea + 24kg DAP/acre,30,24,45,0,0
Rice,Grain Fill,47,8,41,7.7,1.32,19,34,Black Soil,57kg Urea + 33kg MOP/acre,57,0,33,0,0
Cotton,Vegetative,35,45,9,7.4,0.9,28,33,Black Soil,34kg Urea/acre,34,0,0,0,0
Mustard,Flowering,63,29,21,6.2,0.35,24,16,Alluvial,36kg Urea + 58kg SSP/acre,36,0,0,58,0
Rice,Vegetative,25,36,8,6.8,0.98,35,95,Alluvial,58kg Urea + 44kg DAP + 40kg MOP/acre,58,44,40,0,0
Mustard,Sowing,62,21,31,6.9,1.39,32,35,Sandy Loam,30kg SSP + 33kg Urea/acre,33,0,0,30,0
Rice,Sowing,61,27,37,6.1,1.28,25,69,Alluvial,39kg DAP/acre,0,39,0,0,0
Mustard,Flowering,29,13,26,7.3,1.25,28,104,Sandy Loam,29kg SSP + 36kg Urea/acre,36,0,0,29,0
Rice,Vegetative,78,29,36,7.4,0.52,29,115,Sandy Loam,31kg DAP + 59kg Urea + 45kg MOP/acre,59,31,45,0,0
Rice,Sowing,66,43,25,7.9,0.41,32,18,Sandy Loam,54kg DAP + 47kg Urea/acre,47,54,0,0,0
Cotton,Sowing,77,18,20,7.1,0.82,23,103,Alluvial,30kg Urea + 60kg MOP + 21kg DAP/acre,30,21,60,0,0
Rice,Vegetative,77,38,33,6.1,0.58,32,41,Sandy Loam,21kg DAP/acre,0,21,0,0,0
Wheat,Tillering,80,5,43,7.6,1.28,25,25,Alluvial,29kg Urea/acre,29,0,0,0,0
Maize,Grain Fill,67,11,27,7.1,0.85,29,91,Black Soil,20kg MOP + 39kg Urea + 22kg SSP/acre,39,0,20,22,0
Wheat,Tillering,71,14,24,7.0,0.36,31,26,Black Soil,33kg DAP + 39kg Urea + 39kg MOP/acre,39,33,39,0,0
Wheat,Flowering,60,30,42,7.9,0.69,24,44,Clay Loam,55kg MOP + 26kg Urea/acre,26,0,55,0,0
Mustard,Flowering,36,21,25,8.0,1.29,23,44,Alluvial,22kg Urea/acre,22,0,0,0,0
